timestamp,image_file,predicted_label,top1,top2,top3
20250928_004057,captured_images/captured_20250928_004057_Progut.jpg,Progut,,,
20250928_010534,captured_images/captured_20250928_010534_Rivotril.jpg,,Rivotril (0.18),Progut (0.17),Rozith (0.11)
20250928_010557,captured_images/captured_20250928_010557_Metro.jpg,,Metro (1.00),Ketozol (0.00),M-Kast (0.00)
20250928_010622,captured_images/captured_20250928_010622_Aceta.jpg,,Aceta (0.85),Baclon (0.03),Backtone (0.02)
20250928_011056,captured_images/captured_20250928_011056_Aceta.jpg,,Aceta (0.67),Amodis (0.09),M-Kast (0.04)
20250928_011514,captured_images/captured_20250928_011514_Aceta.jpg,,Aceta (0.52),Beklo (0.15),Fexo (0.05)
20250928_011631,captured_images/captured_20250928_011631_Aceta.jpg,,Aceta (0.92),Amodis (0.03),Ace (0.02)
20250928_012232,captured_images/captured_20250928_012232_Aceta.jpg,,Aceta (0.40),Alatrol (0.08),Rhinil (0.08)
20250928_012434,captured_images/captured_20250928_012434_Aceta.jpg,,Aceta (0.67),Amodis (0.09),M-Kast (0.04)
20250928_012624,captured_images/captured_20250928_012624_Axodin.jpg,,Axodin (0.27),Romycin (0.26),Amodis (0.10)
20250928_012813,captured_images/captured_20250928_012813_Atrizin.jpg,,Atrizin (0.77),Amodis (0.16),Ketocon (0.01)
20250928_012908,captured_images/captured_20250928_012908_Amodis.jpg,,Amodis (0.24),Nizoder (0.12),Aceta (0.08)
20250928_012952,captured_images/captured_20250928_012952_Aceta.jpg,,Aceta (0.84),Beklo (0.07),Baclon (0.03)
20250928_013037,captured_images/captured_20250928_013037_Montene.jpg,,Montene (0.78),Montair (0.05),Backtone (0.05)
20250928_013110,captured_images/captured_20250928_013110_Ketoral.jpg,,Ketoral (0.05),Romycin (0.05),Omastin (0.05)
20250928_013137,captured_images/captured_20250928_013137_Aceta.jpg,,Aceta (0.79),Amodis (0.08),Alatrol (0.02)
20250928_013258,captured_images/captured_20250928_013258_Aceta.jpg,,Aceta (0.18),Axodin (0.12),Azyth (0.07)
20250928_013309,captured_images/captured_20250928_013309_Ace.jpg,,Ace (0.28),Az (0.14),Ritch (0.13)
20250928_013318,captured_images/captured_20250928_013318_Alatrol.jpg,,Alatrol (0.58),Napa Extend (0.12),Rivotril (0.06)
20250928_013327,captured_images/captured_20250928_013327_Romycin.jpg,,Romycin (0.06),Ketoral (0.06),Montair (0.05)
20250928_013342,captured_images/captured_20250928_013342_Flexibac.jpg,,Flexibac (0.37),Baclon (0.14),Nizoder (0.08)
20250928_013356,captured_images/captured_20250928_013356_Azithrocin.jpg,,Azithrocin (0.63),Odmon (0.12),Lumona (0.10)
20250928_013412,captured_images/captured_20250928_013412_Dancel.jpg,,Dancel (0.29),Ketoral (0.10),Filmet (0.09)
20250928_013424,captured_images/captured_20250928_013424_Flexibac.jpg,,Flexibac (0.12),Monas (0.09),Nexum (0.09)
20250928_013435,captured_images/captured_20250928_013435_Baclofen.jpg,,Baclofen (0.14),Zithrin (0.12),Odmon (0.09)
20250928_013446,captured_images/captured_20250928_013446_Beklo.jpg,,Beklo (0.25),Baclon (0.19),Axodin (0.11)
20250928_013453,captured_images/captured_20250928_013453_Aceta.jpg,,Aceta (0.69),Baclon (0.08),Nizoder (0.06)
20250928_013509,captured_images/captured_20250928_013509_Az.jpg,,Az (0.91),Vifas (0.06),Diflu (0.02)
20250928_013521,captured_images/captured_20250928_013521_Ketocon.jpg,,Ketocon (0.23),Metsina (0.13),Atrizin (0.09)
20250928_013532,captured_images/captured_20250928_013532_Canazole.jpg,,Canazole (0.37),Amodis (0.07),Omastin (0.06)
20250928_013544,captured_images/captured_20250928_013544_Nidazyl.jpg,,Nidazyl (0.10),Nexcap (0.06),Metro (0.06)
20250928_013557,captured_images/captured_20250928_013557_Zithrin.jpg,,Zithrin (0.41),Tamen (0.18),Tridosil (0.11)
20250928_013610,captured_images/captured_20250928_013610_Montene.jpg,,Montene (0.35),Flexibac (0.11),Backtone (0.09)
20250928_013631,captured_images/captured_20250928_013631_Ketozol.jpg,,Ketozol (0.43),Metro (0.41),Flugal (0.06)
20250928_013649,captured_images/captured_20250928_013649_Aceta.jpg,,Aceta (0.83),Amodis (0.07),Nizoder (0.02)
20250928_013704,captured_images/captured_20250928_013704_Denixil.jpg,,Denixil (0.41),Canazole (0.15),Dancel (0.14)
20250928_013721,captured_images/captured_20250928_013721_Provair.jpg,,Provair (0.71),Flexibac (0.12),Filmet (0.02)
20250928_013739,captured_images/captured_20250928_013739_Flugal.jpg,,Flugal (0.18),Rivotril (0.17),Esoral (0.10)
20250928_013751,captured_images/captured_20250928_013751_Conaz.jpg,,Conaz (0.82),Napa (0.06),Maxpro (0.03)
20250928_013803,captured_images/captured_20250928_013803_Napa.jpg,,Napa (0.30),Disopan (0.15),Maxpro (0.15)
20250928_013811,captured_images/captured_20250928_013811_Azyth.jpg,,Azyth (0.05),Romycin (0.03),Axodin (0.03)
20250928_013824,captured_images/captured_20250928_013824_Tamen.jpg,,Tamen (0.64),Zithrin (0.18),Tridosil (0.08)
20250928_013829,captured_images/captured_20250928_013829_Aceta.jpg,,Aceta (0.69),Baclon (0.08),Nizoder (0.06)
20250928_013841,captured_images/captured_20250928_013841_Baclon.jpg,,Baclon (0.32),Axodin (0.16),Nizoder (0.05)
20250928_013855,captured_images/captured_20250928_013855_Candinil.jpg,,Candinil (0.26),Denixil (0.16),Dancel (0.12)
20250928_013907,captured_images/captured_20250928_013907_Zithrin.jpg,,Zithrin (0.11),Ketocon (0.11),Odmon (0.07)
20250928_013951,captured_images/captured_20250928_013951_Zithrin.jpg,,Zithrin (0.11),Ketocon (0.11),Odmon (0.07)
